Economy,Economy Name,Economy_List,Engagement,Engagement ID,Engagement ID_List,Fiscal Year,Last Updated,Organization Type,Title,Workshop_List,Workstream,Workstream Name,Workstream_List
['recpZloXb0mHklgbP'],['U.S.'],,['recRhdWvXQ0jWT82u'],['recRhdWvXQ0jWT82u'],recRhdWvXQ0jWT82u,['FY25'],2026-05-04T09:13:07.713408,Government,U.S. International Trade Commission,APEC Workshop on Implementing Trade Policy to Foster Quality Growth: Data and Analytical Tools,['recx8jdfEcebA5nAS'],['Trade Data'],Trade Data
['recDqTNOBKhjhCrKi'],['Australia'],,['recRhdWvXQ0jWT82u'],['recRhdWvXQ0jWT82u'],recRhdWvXQ0jWT82u,['FY25'],2026-05-04T09:13:07.713408,Private Sector,"Australian Indigenous Network for Investment, Trade, and Export",APEC Workshop on Implementing Trade Policy to Foster Quality Growth: Data and Analytical Tools,['recx8jdfEcebA5nAS'],['Trade Data'],Trade Data
['recNBQMP8u1F5grz8'],['Chile'],,['recRhdWvXQ0jWT82u'],['recRhdWvXQ0jWT82u'],recRhdWvXQ0jWT82u,['FY25'],2026-05-04T09:13:07.713408,Government,Ministry of Foreign Affairs,APEC Workshop on Implementing Trade Policy to Foster Quality Growth: Data and Analytical Tools,['recx8jdfEcebA5nAS'],['Trade Data'],Trade Data
['recTgJJvApNHGzOD7'],['Indonesia'],,['recRhdWvXQ0jWT82u'],['recRhdWvXQ0jWT82u'],recRhdWvXQ0jWT82u,['FY25'],2026-05-04T09:13:07.713408,Government,BPS Statistics,APEC Workshop on Implementing Trade Policy to Foster Quality Growth: Data and Analytical Tools,['recx8jdfEcebA5nAS'],['Trade Data'],Trade Data
['recCpDCDUg1oaw2hd'],['Philippines'],,['recRhdWvXQ0jWT82u'],['recRhdWvXQ0jWT82u'],recRhdWvXQ0jWT82u,['FY25'],2026-05-04T09:13:07.713408,Government,National Institute of Statistics and Information ,APEC Workshop on Implementing Trade Policy to Foster Quality Growth: Data and Analytical Tools,['recx8jdfEcebA5nAS'],['Trade Data'],Trade Data
['recNBQMP8u1F5grz8'],['Chile'],,['recRhdWvXQ0jWT82u'],['recRhdWvXQ0jWT82u'],recRhdWvXQ0jWT82u,['FY25'],2026-05-04T09:13:07.713408,Intergovernmental,Economic Commission for Latin America and the Caribbean ,APEC Workshop on Implementing Trade Policy to Foster Quality Growth: Data and Analytical Tools,['recx8jdfEcebA5nAS'],['Trade Data'],Trade Data
['rec2SfojMouQz838n'],['Malaysia'],,['recEQoIBeNaGiEj6E'],['recEQoIBeNaGiEj6E'],recEQoIBeNaGiEj6E,['FY25'],2026-05-04T09:13:07.713408,Government,Ministry of Foreign Affairs,Digital Trade Policy Dialogue,['rece5twihWGNiY0bI'],['Digital Trade'],Digital Trade
['recoRkWHSHlENX2lz'],['Republic of Korea'],,['recEQoIBeNaGiEj6E'],['recEQoIBeNaGiEj6E'],recEQoIBeNaGiEj6E,['FY25'],2026-05-04T09:13:07.713408,Think Tank,Korea Institute for International Economic Policy,Digital Trade Policy Dialogue,['rece5twihWGNiY0bI'],['Digital Trade'],Digital Trade
['recpZloXb0mHklgbP'],['U.S.'],,['recEQoIBeNaGiEj6E'],['recEQoIBeNaGiEj6E'],recEQoIBeNaGiEj6E,['FY25'],2026-05-04T09:13:07.713408,Non-Profit,National Center for APEC,Digital Trade Policy Dialogue,['rece5twihWGNiY0bI'],['Digital Trade'],Digital Trade
['recpZloXb0mHklgbP'],['U.S.'],,['recEQoIBeNaGiEj6E'],['recEQoIBeNaGiEj6E'],recEQoIBeNaGiEj6E,['FY25'],2026-05-04T09:13:07.713408,Non-Profit,ACT | The App Association,Digital Trade Policy Dialogue,['rece5twihWGNiY0bI'],['Digital Trade'],Digital Trade
['recpZloXb0mHklgbP'],['U.S.'],,['recEQoIBeNaGiEj6E'],['recEQoIBeNaGiEj6E'],recEQoIBeNaGiEj6E,['FY25'],2026-05-04T09:13:07.713408,Private Sector,Visa,Digital Trade Policy Dialogue,['rece5twihWGNiY0bI'],['Digital Trade'],Digital Trade
['recpZloXb0mHklgbP'],['U.S.'],,['recEQoIBeNaGiEj6E'],['recEQoIBeNaGiEj6E'],recEQoIBeNaGiEj6E,['FY25'],2026-05-04T09:13:07.713408,Private Sector,IBM,Digital Trade Policy Dialogue,['rece5twihWGNiY0bI'],['Digital Trade'],Digital Trade
['recoRkWHSHlENX2lz'],['Republic of Korea'],,['recqu5zwikr83XTIf'],['recqu5zwikr83XTIf'],recqu5zwikr83XTIf,['FY25'],2026-05-04T09:13:07.713408,Government,Korean Agency for Technology and Standards,APEC 18th GRP Conference,['recXoua58VswegNYn'],['GRP'],GRP
['rec2SfojMouQz838n'],['Malaysia'],,['recqu5zwikr83XTIf'],['recqu5zwikr83XTIf'],recqu5zwikr83XTIf,['FY25'],2026-05-04T09:13:07.713408,Government,Malaysia Productivity Corporation,APEC 18th GRP Conference,['recXoua58VswegNYn'],['GRP'],GRP
['rec2SfojMouQz838n'],['Malaysia'],,['recqu5zwikr83XTIf'],['recqu5zwikr83XTIf'],recqu5zwikr83XTIf,['FY25'],2026-05-04T09:13:07.713408,Academia,Kookmin University,APEC 18th GRP Conference,['recXoua58VswegNYn'],['GRP'],GRP
['recpZloXb0mHklgbP'],['U.S.'],,['recqu5zwikr83XTIf'],['recqu5zwikr83XTIf'],recqu5zwikr83XTIf,['FY25'],2026-05-04T09:13:07.713408,Non-Profit,UL Standards & Engagement,APEC 18th GRP Conference,['recXoua58VswegNYn'],['GRP'],GRP
['recDqTNOBKhjhCrKi'],['Australia'],,['recqu5zwikr83XTIf'],['recqu5zwikr83XTIf'],recqu5zwikr83XTIf,['FY25'],2026-05-04T09:13:07.713408,Government,Department of Finance,APEC 18th GRP Conference,['recXoua58VswegNYn'],['GRP'],GRP
['recTgJJvApNHGzOD7'],['Indonesia'],,['recqu5zwikr83XTIf'],['recqu5zwikr83XTIf'],recqu5zwikr83XTIf,['FY25'],2026-05-04T09:13:07.713408,Government,National Standardization Agency of Indonesia ,APEC 18th GRP Conference,['recXoua58VswegNYn'],['GRP'],GRP
['recoRkWHSHlENX2lz'],['Republic of Korea'],,['recqu5zwikr83XTIf'],['recqu5zwikr83XTIf'],recqu5zwikr83XTIf,['FY25'],2026-05-04T09:13:07.713408,Private Sector,Samsung,APEC 18th GRP Conference,['recXoua58VswegNYn'],['GRP'],GRP
['rec2SfojMouQz838n'],['Malaysia'],,['recqu5zwikr83XTIf'],['recqu5zwikr83XTIf'],recqu5zwikr83XTIf,['FY25'],2026-05-04T09:13:07.713408,Private Sector,Autonomous A2Z,APEC 18th GRP Conference,['recXoua58VswegNYn'],['GRP'],GRP
['recpZloXb0mHklgbP'],['U.S.'],,"['recyeMjbHskbfgqpX', 'recoX3naiW5GDsnIX']","['recyeMjbHskbfgqpX', 'recoX3naiW5GDsnIX']",recyeMjbHskbfgqpX|recoX3naiW5GDsnIX,"['FY25', 'FY26']",2026-05-04T09:13:07.713408,Government,U.S. Department of Commerce    ,Workshop on Digital Standards: Shaping the Future of Standardization|APEC 17th A2C2 Meeting,"['recO6Wye9q46CaYxb', 'recj4G8RWTsTnomP6']","['Digital Standards', 'Supply Chains']",Digital Standards|Supply Chains
['rec0dPH7IExMl1n7U'],['Viet Nam'],,['recOnf2sxH7keZrHn'],['recOnf2sxH7keZrHn'],recOnf2sxH7keZrHn,"['FY25', 'FY26']",2026-05-04T09:13:07.713408,Government,Ministry of Industry and Trade,APEC Workshop on Advancing the FTAAP: Issues Related to Rules of Origin,['reckuD4pDTWtZesJN'],['ROO'],ROO
['recpZloXb0mHklgbP'],['U.S.'],,['recoX3naiW5GDsnIX'],['recoX3naiW5GDsnIX'],recoX3naiW5GDsnIX,"['FY25', 'FY26']",2026-05-04T09:13:07.713408,Private Sector,"Expeditors International of Washington, LLC ",APEC 17th A2C2 Meeting,['recj4G8RWTsTnomP6'],['Supply Chains'],Supply Chains
['recpZloXb0mHklgbP'],['U.S.'],,['recEQoIBeNaGiEj6E'],['recEQoIBeNaGiEj6E'],recEQoIBeNaGiEj6E,"['FY25', 'FY26']",2026-05-04T09:13:07.713408,Private Sector,National Foreign Trade Council,Digital Trade Policy Dialogue,"['rece5twihWGNiY0bI', 'recj4G8RWTsTnomP6']","['Digital Trade', 'Supply Chains']",Digital Trade|Supply Chains
['recpZloXb0mHklgbP'],['U.S.'],,,,,['FY26'],2026-05-04T09:13:07.713408,Private Sector,Customs and Trade Facilitation Experts,,['recj4G8RWTsTnomP6'],['Supply Chains'],Supply Chains
['recpZloXb0mHklgbP'],['U.S.'],,,,,['FY26'],2026-05-04T09:13:07.713408,Private Sector,Olin Corporation,,['recj4G8RWTsTnomP6'],['Supply Chains'],Supply Chains
['reckjm7JH9PAcSfTJ'],['Canada'],,,,,['FY26'],2026-05-04T09:13:07.713408,Government,Canadian Food Inspection Agency,,['recj4G8RWTsTnomP6'],['Supply Chains'],Supply Chains
['recpZloXb0mHklgbP'],['U.S.'],,,,,['FY26'],2026-05-04T09:13:07.713408,Government,U.S. Embassy Mexico City,,['recj4G8RWTsTnomP6'],['Supply Chains'],Supply Chains
['recpZloXb0mHklgbP'],['U.S.'],,,,,['FY26'],2026-05-04T09:13:07.713408,Private Sector,Monarch Global Strategies,,['recj4G8RWTsTnomP6'],['Supply Chains'],Supply Chains
['recpZloXb0mHklgbP'],['U.S.'],,,,,['FY26'],2026-05-04T09:13:07.713408,Private Sector,NASCO Network,,['recj4G8RWTsTnomP6'],['Supply Chains'],Supply Chains
['recpZloXb0mHklgbP'],['U.S.'],,,,,['FY26'],2026-05-04T09:13:07.713408,Private Sector,IBC Bank,,['recj4G8RWTsTnomP6'],['Supply Chains'],Supply Chains
['recpZloXb0mHklgbP'],['U.S.'],,,,,['FY26'],2026-05-04T09:13:07.713408,Private Sector,National Custom Brokers & Forwarders Association of America,,['recj4G8RWTsTnomP6'],['Supply Chains'],Supply Chains
['recpZloXb0mHklgbP'],['U.S.'],,,,,['FY26'],2026-05-04T09:13:07.713408,Private Sector,Maersk,,['recj4G8RWTsTnomP6'],['Supply Chains'],Supply Chains
['recpZloXb0mHklgbP'],['U.S.'],,,,,['FY26'],2026-05-04T09:13:07.713408,Private Sector,Parapet Advisors,,['recj4G8RWTsTnomP6'],['Supply Chains'],Supply Chains
['recAWVQLF8Zspmy2t'],['Mexico'],,,,,['FY26'],2026-05-04T09:13:07.713408,Private Sector,Integraduanas,,['recj4G8RWTsTnomP6'],['Supply Chains'],Supply Chains
['recpZloXb0mHklgbP'],['U.S.'],,,,,['FY26'],2026-05-04T09:13:07.713408,Government,U.S. Department of Agriculture,,['recj4G8RWTsTnomP6'],['Supply Chains'],Supply Chains
['reckjm7JH9PAcSfTJ'],['Canada'],,,,,['FY26'],2026-05-04T09:13:07.713408,Private Sector,Chemistry Industry Association of Canada,,['recj4G8RWTsTnomP6'],['Supply Chains'],Supply Chains
['reci4ErOAxmFqyIcC'],['Other'],,,,,['FY26'],2026-05-04T09:13:07.713408,Non-Profit,Digital Container Shipping Association,,['recj4G8RWTsTnomP6'],['Supply Chains'],Supply Chains
['reci4ErOAxmFqyIcC'],['Other'],,,,,['FY26'],2026-05-04T09:13:07.713408,Private Sector,Latin American Association of Express Delivery Companies,,['recj4G8RWTsTnomP6'],['Supply Chains'],Supply Chains
['recpZloXb0mHklgbP'],['U.S.'],,,,,['FY26'],2026-05-04T09:13:07.713408,Private Sector,Intel,,['recj4G8RWTsTnomP6'],['Supply Chains'],Supply Chains
['recZ1CmmH4WQiYKht'],['New Zealand'],,,,,['FY26'],2026-05-04T09:13:07.713408,Government,Ministry of Finance,,['recj4G8RWTsTnomP6'],['Supply Chains'],Supply Chains
